"","site","year_mo","year","plotID","easting","northing","latitude","longitude","Dominant_NLCD_Classes","NLCD_Classes_Abb","shannon_exotic","evenness_exotic","nspp_exotic","shannon_notexotic","evenness_notexotic","nspp_notexotic","shannon_native","evenness_native","nspp_native","shannon_unknown","evenness_unknown","nspp_unknown","rel_cover_native","rel_cover_unknown","rel_cover_exotic","cover_native","cover_unknown","cover_exotic","rel_cover_notexotic","cover_notexotic","shannon_total","evenness_total","nspp_total","shannon_family","evenness_family","nfamilies","scale","invaded","turnover","nestedness","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","vertCV.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop","q25.aop","q50.aop","ID2","system.index","easting","first","northing","plotID","site","year","year_mo",".geo","p_IDn","plotID","pointID","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","plotEdge","p_IDn","ID2"
"264","CLBJ","2017-05",2017,"CLBJ_051",630742.157,3693145.145,33.369609,-97.594595,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,3.335143109,0.070960492,47,3.168515882,0.077280875,41,1.62304732,0.270507887,6,0.905714286,0.094285714,0,6.604166667,0.6875,0,1,7.291666667,3.335143109,0.070960492,47,2.488892744,0.108212728,23,"plot","not_invaded",0.823529412,0.060838897,7.009108861,12.97,1.771459292,0.10430839,0.89569161,3.703751065,3.547714917,0.504046386,1.158399919,0.562111436,0.836686495,4.353232946,0.562111436,4.69,7.6,"2017CLBJ_051630742.157","00000000000000000010",630742.157,41,3693145.145,"CLBJ_051","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.594596789157,33.36960692874432]}","CLBJ_051630742.1573693145.145","CLBJ_051","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.369609,-97.594595,"WGS84","14N",630742.157,3693145.145,0.09,302.16,0.09,299.09,303.42,2.58,130.6,"deciduousForest","Alfisols","GeoXH 6000",20160224,211,1.8,1.2,"cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_051630742.1573693145.145","2017CLBJ_051630742.157"
"249","CLBJ","2017-05",2017,"CLBJ_032",630743.201,3697195.761,33.406134,-97.593996,"Deciduous Forest, Grassland/Herbaceous","DGH",0.269181204,0.033647651,8,3.433012627,0.041361598,83,3.258363757,0.046548054,70,1.55805771,0.14164161,11,0.593381295,0.054964029,0.351654676,42.95833333,3.979166667,25.45833333,0.650757359,47.4375,2.975044329,0.032692795,91,1.397955903,0.049926997,28,"plot","invaded",0.830769231,0.035897436,0.281728426,5.901,1.088983396,0.106575964,0.893424036,0.874538386,1.327083439,0.315140355,0.694798755,0.308690624,0.642146959,5.460058216,0.308690624,3.5225,4.07,"2017CLBJ_032630743.201","00000000000000000011",630743.201,71,3697195.761,"CLBJ_032","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.59399481051479,33.40613588457415]}","CLBJ_032630743.2013697195.761","CLBJ_032","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.406134,-97.593996,"WGS84","14N",630743.201,3697195.761,0.1,289.86,0.1,287.91,290.87,1.78,125.8,"grasslandHerbaceous","Alfisols","Geo 7X (H-Star)",20160216,191,1.8,1,"bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst",40,"CLBJ_032630743.2013697195.761","2017CLBJ_032630743.201"
"241","CLBJ","2017-05",2017,"CLBJ_046",631731.495,3696924.926,33.403571,-97.58341,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,2.388240919,0.041176568,58,2.310403386,0.044430834,52,1.441183105,0.288236621,5,0.982844494,0.017155506,0,37,0.645833333,0,1,37.6875,2.388240919,0.041176568,58,2.014356414,0.071941301,28,"plot","not_invaded",0.800915332,0.053356025,8.761521053,12.614,1.6985766,0.138321995,0.861678005,2.101547878,3.068573048,0.397002454,2.037447458,0.529321769,0.810829603,5.242885566,0.529321769,6.2,8.35,"2017CLBJ_046631731.495","00000000000000000012",631731.495,41,3696924.926,"CLBJ_046","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.58341336371495,33.403571901468425]}","CLBJ_046631731.4953696924.926","CLBJ_046","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.403571,-97.58341,"WGS84","14N",631731.495,3696924.926,0.1,275,0.1,271.42,276.8,2.92,181.7,"deciduousForest","Alfisols","Geo 7X (H-Star)",20160225,294,1.8,1.1,"cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_046631731.4953696924.926","2017CLBJ_046631731.495"
"NA.7","CLBJ","2017-05",2017,"CLBJ_039",631822.133,3688703.552,33.329427,-97.583638,"Deciduous Forest, Grassland/Herbaceous","DGH",0.113579453,0.056789726,2,2.677751761,0.037190997,72,2.565577469,0.038872386,66,0.981374419,0.196274884,5,0.906825939,0.036518771,0.05665529,55.35416667,2.229166667,3.458333333,0.94346049,57.70833333,2.750112448,0.037163682,74,1.313629261,0.054734553,24,"plot","invaded",0.781575037,0.028991973,0.275248718,6.433,1.14645884,0.115646259,0.884353741,0.913617625,2.581007292,0.725376296,NA,0.37184175,0.834848129,2.284194801,0.37184175,0.52,4.51,"2017CLBJ_039631822.133","00000000000000000013",631822.133,71,3688703.552,"CLBJ_039","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.58363631876763,33.32942596915172]}","CLBJ_039631822.1333688703.552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017CLBJ_039631822.133"
"259","CLBJ","2017-05",2017,"CLBJ_036",632062.408,3696264.855,33.397578,-97.57995,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,3.240113747,0.032728422,99,3.172926904,0.034867329,91,1.30647785,0.186639693,7,0.978076731,0.021923269,0,81.79166667,1.833333333,0,1,83.66666667,3.240113747,0.032728422,99,2.075525243,0.057653479,36,"plot","not_invaded",0.810185185,0.033176801,2.174383838,9.289,1.651375803,0.102040816,0.897959184,3.124301918,2.472908234,0.389421365,0.512009058,0.423237541,0.802514346,4.422919386,0.423237541,5.725,6.92,"2017CLBJ_036632062.408","00000000000000000014",632062.408,41,3696264.855,"CLBJ_036","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.57994864219641,33.397578869652584]}","CLBJ_036632062.4083696264.855","CLBJ_036","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.397578,-97.57995,"WGS84","14N",632062.408,3696264.855,0.1,287.96,0.1,287.64,288.61,1.15,237.1,"grasslandHerbaceous","Alfisols","GeoXH 6000",20160204,293,1.5,0.7,"bet|cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_036632062.4083696264.855","2017CLBJ_036632062.408"
"252","CLBJ","2017-05",2017,"CLBJ_058",632242.239,3693715.404,33.374568,-97.578391,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,2.026441748,0.08105767,25,1.974157216,0.089734419,22,0.867563228,0.289187743,3,0.987829615,0.012170385,0,20.29166667,0.25,0,1,20.54166667,2.026441748,0.08105767,25,1.969632135,0.109424008,18,"plot","not_invaded",0.714285714,0.043853821,9.4955,13.837,1.745439873,0.102040816,0.897959184,2.79812028,3.992973469,0.510977279,2.115036608,0.568008909,0.856047841,4.092442057,0.568008909,5.065,8.86,"2017CLBJ_058632242.239","00000000000000000015",632242.239,41,3693715.404,"CLBJ_058","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.57839241592877,33.3745699082168]}","CLBJ_058632242.2393693715.404","CLBJ_058","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.374568,-97.578391,"WGS84","14N",632242.239,3693715.404,0.1,284.66,0.1,282.94,285.42,1.49,315.7,"deciduousForest","Alfisols","Geo 7X (H-Star)",20160303,161,3,1.3,"div",40,"CLBJ_058632242.2393693715.404","2017CLBJ_058632242.239"
"240","CLBJ","2017-05",2017,"CLBJ_045",633141.462,3696924.986,33.403397,-97.568252,"Deciduous Forest, Grassland/Herbaceous","DGH",0.580213063,0.08288758,7,2.558184274,0.042636405,60,2.38297611,0.045826464,52,1.525909959,0.217987137,7,0.901342975,0.047262397,0.051394628,72.70833333,3.8125,4.145833333,0.948869476,76.9375,2.658880214,0.039684779,67,1.923047414,0.068680265,28,"plot","invaded",0.829545455,0.03868295,4.441177378,12.985,2.929227193,0.117913832,0.882086168,4.351314002,4.549679307,0.745526387,1.515536158,0.500202641,0.912197208,2.244657631,0.500202641,0.47,7.39,"2017CLBJ_045633141.462","00000000000000000016",633141.462,41,3696924.986,"CLBJ_045","CLBJ",2017,"2017-05","{""type"":""Point"",""coordinates"":[-97.56825242013325,33.40339799652733]}","CLBJ_045633141.4623696924.986","CLBJ_045","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.403397,-97.568252,"WGS84","14N",633141.462,3696924.986,0.1,263.93,0.1,262.44,265.89,3.09,308.2,"deciduousForest","Alfisols","Geo 7X (H-Star)",20160204,258,2.5,1,"cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_045633141.4623696924.986","2017CLBJ_045633141.462"
"239.1","CLBJ","2018-05",2018,"CLBJ_044",624862.186,3698244.719,33.416293,-97.657079,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,1.755137567,0.065005095,27,1.693213378,0.067728535,25,0.244930027,0.122465013,2,0.982837529,0.017162471,0,53.6875,0.9375,0,1,54.625,1.755137567,0.065005095,27,1.198794441,0.133199382,9,"plot","not_invaded",0.830564784,0.018099904,0.797756962,6.122,1.270008598,0.10430839,0.89569161,1.417811061,1.737417981,0.585025078,NA,0.41186243,0.786899882,2.429675868,0.41186243,1.236,2.99,"2018CLBJ_044624862.186","00000000000000000045",624862.186,71,3698244.719,"CLBJ_044","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.65707771311787,33.4162937167739]}","CLBJ_044624862.1863698244.719","CLBJ_044","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.416293,-97.657079,"WGS84","14N",624862.186,3698244.719,0.1,307.42,0.1,306.87,307.53,0.57,152.6,"grasslandHerbaceous","Alfisols","Geo 7X (H-Star)",20160222,167,1.6,0.9,"cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_044624862.1863698244.719","2018CLBJ_044624862.186"
"251.1","CLBJ","2018-05",2018,"CLBJ_057",626393.231,3693444.288,33.372827,-97.64129,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,1.59061711,0.113615508,14,1.59061711,0.113615508,14,0,0,0,1,0,0,19.5,0,0,1,19.5,1.59061711,0.113615508,14,1.546573643,0.140597604,11,"plot","not_invaded",0.87755102,0.046499613,7.951303342,13.2,1.852009038,0.117913832,0.882086168,2.357850756,2.883930698,0.498437561,0.850449558,0.549906301,0.796730473,6.601509197,0.549906301,3.36725,5.467,"2018CLBJ_057626393.231","00000000000000000046",626393.231,41,3693444.288,"CLBJ_057","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.64128803628762,33.37282639970491]}","CLBJ_057626393.2313693444.288","CLBJ_057","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.372827,-97.64129,"WGS84","14N",626393.231,3693444.288,0.1,322.19,0.1,320.58,323.79,1.66,73.5,"deciduousForest","Alfisols","GeoXH 6000",20160301,151,4.7,2.1,"div",40,"CLBJ_057626393.2313693444.288","2018CLBJ_057626393.231"
"244.1","CLBJ","2018-05",2018,"CLBJ_049",626842.436,3697945.995,33.413367,-97.635828,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,1,2.814691609,0.040792632,69,2.727525202,0.045458753,60,1.80195114,0.257421591,7,0.977906365,0.018937401,0.003156234,38.72916667,0.75,0.125,0.996850394,39.5625,2.827114317,0.040387347,70,2.046943247,0.093042875,22,"plot","invaded",0.839936609,0.029403624,6.162202073,12.396,2.125751484,0.124716553,0.875283447,3.673825168,3.002200178,0.4903481,1.307859192,0.559701135,0.816907972,5.244718245,0.559701135,3.805,6.222,"2018CLBJ_049626842.436","00000000000000000047",626842.436,41,3697945.995,"CLBJ_049","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.6358300965982,33.413368546482836]}","CLBJ_049626842.4363697945.995","CLBJ_049","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.413367,-97.635828,"WGS84","14N",626842.436,3697945.995,0.1,305.65,0.1,303.88,307.38,2.52,154.4,"deciduousForest","Alfisols","GeoXH 6000",20160222,178,1.6,0.9,"cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_049626842.4363697945.995","2018CLBJ_049626842.436"
"257.1","CLBJ","2018-05",2018,"CLBJ_060",626932.226,3693955.84,33.377376,-97.635425,"Deciduous Forest, Grassland/Herbaceous","DGH",0.250954804,0.125477402,2,2.329907908,0.066568797,35,2.25906534,0.066443098,34,0,0,1,0.818342152,0.028218695,0.153439153,29,1,5.4375,0.846560847,30,2.439543656,0.065933612,37,1.652086725,0.118006195,14,"plot","invaded",0.834394904,0.047691263,1.097444724,5.972,1.333592871,0.097505669,0.902494331,1.354457383,1.171582738,0.512884056,0.259790528,0.36237601,0.801147805,2.558735349,0.36237601,1.28025,2.1565,"2018CLBJ_060626932.226","00000000000000000048",626932.226,71,3693955.84,"CLBJ_060","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.63542431840234,33.377374682779426]}","CLBJ_060626932.2263693955.84","CLBJ_060","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.377376,-97.635425,"WGS84","14N",626932.226,3693955.84,0.1,330.42,0.1,329.09,331.33,2.23,9.6,"grasslandHerbaceous","Mollisols","GeoXH 6000",20160301,239,1.4,0.7,"div",40,"CLBJ_060626932.2263693955.84","2018CLBJ_060626932.226"
"256","CLBJ","2018-05",2018,"CLBJ_059",627261.948,3693773.193,33.37569,-97.631907,"Deciduous Forest, Grassland/Herbaceous","DGH",0.692954934,0.346477467,2,2.074005811,0.039132185,53,1.98934098,0.040598796,49,0.63903186,0.21301062,3,0.823899371,0.01572327,0.160377358,32.75,0.625,6.375,0.840125392,33.5,2.292672736,0.041684959,55,1.131726211,0.041915786,27,"plot","invaded",0.893280632,0.013776166,0.0945625,1.997,1.013207778,0.092970522,0.907029478,0.15297344,0.823320827,0.607643225,NA,0.240779371,0.804621849,0,0.240779371,0.819,1.07,"2018CLBJ_059627261.948","00000000000000000049",627261.948,41,3693773.193,"CLBJ_059","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.63190608767118,33.37568914258122]}","CLBJ_059627261.9483693773.193","CLBJ_059","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.37569,-97.631907,"WGS84","14N",627261.948,3693773.193,0.1,341.65,0.1,339.47,344.62,2.46,119.2,"grasslandHerbaceous","Mollisols","GeoXH 6000",20160301,204,1.5,0.9,"div",40,"CLBJ_059627261.9483693773.193","2018CLBJ_059627261.948"
"NA.1","CLBJ","2018-05",2018,"CLBJ_050",628131.9,3694194.459,33.379385,-97.622498,"Deciduous Forest, Grassland/Herbaceous","DGH",0.149994924,0.074997462,2,2.306254693,0.044351052,52,2.247942009,0.048868305,46,1.560710409,0.312142082,5,0.943548387,0.009677419,0.046774194,36.5625,0.375,1.8125,0.953301127,37,2.394237884,0.044337739,54,1.738039529,0.082763787,21,"plot","invaded",0.88590604,0.026465094,0.966801508,6.089,1.274773376,0.097505669,0.902494331,1.623216491,1.325422955,0.401469471,0.360217786,0.387841383,0.656343873,4.965841104,0.387841383,2.207,3.389,"2018CLBJ_050628131.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","CLBJ","2018-05",2018,"CLBJ_033",628342.456,3694373.135,33.380971,-97.620209,"Deciduous Forest, Grassland/Herbaceous","DGH",1.30130555,0.325326388,4,2.85595611,0.040224734,71,2.810174348,0.043233452,65,1.538834084,0.256472347,6,0.981460674,0.010674157,0.007865169,36.39583333,0.395833333,0.291666667,0.992134831,36.79166667,2.889671869,0.038528958,75,2.271251866,0.075708396,30,"plot","invaded",0.802973978,0.051221346,5.278514139,9.84,1.634827481,0.117913832,0.882086168,1.868476747,1.863226394,0.406928312,0.593185322,0.462150165,0.7329157,7.34648112,0.462150165,3.155,4.471,"2018CLBJ_033628342.456","0000000000000000004b",628342.456,71,3694373.135,"CLBJ_033","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.62020986560798,33.38097317732955]}","CLBJ_033628342.4563694373.135","CLBJ_033","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.380971,-97.620209,"WGS84","14N",628342.456,3694373.135,0.1,308.6,0.1,307.81,309.02,0.69,131.1,"deciduousForest","Alfisols","GeoXH 6000",20160217,179,2,1,"bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst",40,"CLBJ_033628342.4563694373.135","2018CLBJ_033628342.456"
"237.1","CLBJ","2018-05",2018,"CLBJ_042",630441.76,3693354.515,33.371534,-97.597793,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,2.555269423,0.050103322,51,2.529522853,0.051622915,49,0.562335145,0.281167572,2,0.993720565,0.006279435,0,26.375,0.166666667,0,1,26.54166667,2.555269423,0.050103322,51,2.155746628,0.086229865,25,"plot","not_invaded",0.848484848,0.016683691,8.881523936,12.772,1.782649137,0.14739229,0.85260771,2.38950702,2.830877394,0.381834871,1.077179073,0.54330697,0.769798846,6.647713916,0.54330697,5.60275,7.866,"2018CLBJ_042630441.76","0000000000000000004c",630441.76,41,3693354.515,"CLBJ_042","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.59779396461231,33.37153326039942]}","CLBJ_042630441.763693354.515","CLBJ_042","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.371534,-97.597793,"WGS84","14N",630441.76,3693354.515,0.1,310.61,0.1,309.39,312.69,1.03,243.2,"deciduousForest","Alfisols","GeoXH 6000",20160223,201,2.1,1.4,"bet|cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_042630441.763693354.515","2018CLBJ_042630441.76"
"264.1","CLBJ","2018-05",2018,"CLBJ_051",630742.157,3693145.145,33.369609,-97.594595,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,1.517958003,0.072283714,21,1.485799874,0.074289994,20,0,0,1,0.992753623,0.007246377,0,8.5625,0.0625,0,1,8.625,1.517958003,0.072283714,21,1.38112488,0.11509374,12,"plot","not_invaded",0.845070423,0.08984082,7.887899244,13.289,1.723436642,0.099773243,0.900226757,3.618851979,3.090934158,0.439439712,0.578452024,0.5703417,0.779330097,7.679580781,0.5703417,4.559,7.106,"2018CLBJ_051630742.157","0000000000000000004d",630742.157,41,3693145.145,"CLBJ_051","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.594596789157,33.36960692874432]}","CLBJ_051630742.1573693145.145","CLBJ_051","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.369609,-97.594595,"WGS84","14N",630742.157,3693145.145,0.09,302.16,0.09,299.09,303.42,2.58,130.6,"deciduousForest","Alfisols","GeoXH 6000",20160224,211,1.8,1.2,"cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_051630742.1573693145.145","2018CLBJ_051630742.157"
"259.1","CLBJ","2018-05",2018,"CLBJ_036",632062.408,3696264.855,33.397578,-97.57995,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,3.022165694,0.036855679,82,3.009031992,0.038089013,79,0.673011667,0.336505834,2,0.998127341,0.001872659,0,55.52083333,0.104166667,0,1,55.66666667,3.022165694,0.036855679,82,1.775049042,0.055470283,32,"plot","not_invaded",0.752380952,0.049397955,1.876553247,10.408,1.758432784,0.126984127,0.873015873,3.145829488,1.972204939,0.310763815,0.711047991,0.470342795,0.63329791,12.19614856,0.470342795,4.994,6.152,"2018CLBJ_036632062.408","0000000000000000004e",632062.408,41,3696264.855,"CLBJ_036","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.57994864219641,33.397578869652584]}","CLBJ_036632062.4083696264.855","CLBJ_036","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.397578,-97.57995,"WGS84","14N",632062.408,3696264.855,0.1,287.96,0.1,287.64,288.61,1.15,237.1,"grasslandHerbaceous","Alfisols","GeoXH 6000",20160204,293,1.5,0.7,"bet|cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_036632062.4083696264.855","2018CLBJ_036632062.408"
"266","CLBJ","2018-05",2018,"CLBJ_003",632722.868,3696984.829,33.403989,-97.572744,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,1,2.730765892,0.053544429,51,2.701680141,0.056285003,48,0.562335145,0.281167572,2,0.993112948,0.005509642,0.00137741,45.0625,0.25,0.0625,0.998624484,45.375,2.737447422,0.05264322,52,1.941241183,0.102170589,19,"plot","invaded",0.868008949,0.035585823,6.278997449,11.826,2.515713569,0.111111111,0.888888889,3.750378146,2.792712594,0.416464909,1.115101279,0.53745428,0.755574882,6.909526448,0.53745428,4.57175,7.1265,"2018CLBJ_003632722.868","0000000000000000004f",632722.868,41,3696984.829,"CLBJ_003","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.57274273489405,33.40399105696745]}","CLBJ_003632722.8683696984.829","CLBJ_003","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","tower","basePlot",NA,1600,"40m x 40m",33.403989,-97.572744,"WGS84","14N",632722.868,3696984.829,0.1,273.35,0.1,272.15,274.48,0.92,120.4,"deciduousForest","Alfisols","Geo 7X (H-Star)",20160126,505,1.7,1.1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",40,"CLBJ_003632722.8683696984.829","2018CLBJ_003632722.868"
"287","CLBJ","2018-05",2018,"CLBJ_002",632872.228,3696985.964,33.40398,-97.571138,"Deciduous Forest, Grassland/Herbaceous","DGH",0.994923633,0.331641211,3,3.145639893,0.034567471,91,3.058299701,0.035561624,86,0.897945725,0.299315242,3,0.976286871,0.01735107,0.006362059,35.16666667,0.625,0.229166667,0.993717875,36.25,3.170241843,0.033725977,94,2.531216494,0.07670353,33,"plot","invaded",0.808435852,0.066132617,6.145796992,11.977,2.396996848,0.095238095,0.904761905,2.947092416,2.719827258,0.530939888,0.794907043,0.526885239,0.810978586,5.579874721,0.526885239,2.713,4.886,"2018CLBJ_002632872.228","00000000000000000050",632872.228,41,3696985.964,"CLBJ_002","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.57113745851481,33.40398213876534]}","CLBJ_002632872.2283696985.964","CLBJ_002","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","tower","basePlot",NA,1600,"40m x 40m",33.40398,-97.571138,"WGS84","14N",632872.228,3696985.964,0.1,263.12,0.1,260.96,264.69,1.43,276,"deciduousForest","Alfisols","Geo 7X (H-Star)",20160122,353,1.5,0.9,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",40,"CLBJ_002632872.2283696985.964","2018CLBJ_002632872.228"
"274","CLBJ","2018-05",2018,"CLBJ_001",633141.62,3696324.985,33.397987,-97.568339,"Deciduous Forest, Grassland/Herbaceous","DGH",0.07237779,0.036188895,2,3.355000052,0.045337839,74,3.333552388,0.046951442,71,0.636514168,0.318257084,2,0.890083048,0.002931119,0.106985833,37.95833333,0.125,4.5625,0.893222818,38.16666667,3.344214649,0.044002824,76,1.59826096,0.057080749,28,"plot","invaded",0.767616192,0.041731902,0.23253562,5.276,1.117197504,0.140589569,0.859410431,0.743202979,1.004568356,0.290427029,0.089415999,0.321801961,0.55595968,11.02685749,0.321801961,2.58575,3.479,"2018CLBJ_001633141.62","00000000000000000051",633141.62,71,3696324.985,"CLBJ_001","CLBJ",2018,"2018-05","{""type"":""Point"",""coordinates"":[-97.56833714305324,33.3979891069495]}","CLBJ_001633141.623696324.985","CLBJ_001","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","tower","basePlot",NA,1600,"40m x 40m",33.397987,-97.568339,"WGS84","14N",633141.62,3696324.985,0.1,278.14,0.1,277.77,279.35,0.74,276.4,"deciduousForest","Alfisols","Geo 7X (H-Star)",20160113,302,1.7,0.9,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst",40,"CLBJ_001633141.623696324.985","2018CLBJ_001633141.62"
"259.2","CLBJ","2019-04",2019,"CLBJ_036",632062.408,3696264.855,33.397578,-97.57995,"Deciduous Forest, Grassland/Herbaceous","DGH",0,0,0,2.971056676,0.054019212,55,2.934309344,0.056429026,52,0.955699891,0.31856663,3,0.989795918,0.010204082,0,42.4375,0.4375,0,1,42.875,2.971056676,0.054019212,55,1.910667848,0.068238137,28,"plot","not_invaded",0.770642202,0.059289771,2.191609023,10.395,1.769629572,0.095238095,0.904761905,3.316601864,2.297551656,0.375569172,0.723288116,0.50170067,0.745358565,6.293161608,0.50170067,4.7935,6.221,"2019CLBJ_036632062.408","0000000000000000000b",632062.408,41,3696264.855,"CLBJ_036","CLBJ",2019,"2019-04","{""type"":""Point"",""coordinates"":[-97.57994864219641,33.397578869652584]}","CLBJ_036632062.4083696264.855","CLBJ_036","41","unitedStates","TX","Wise","Southern Plains","D11","Lyndon B. Johnson National Grassland NEON","CLBJ","distributed","basePlot",NA,1600,"40m x 40m",33.397578,-97.57995,"WGS84","14N",632062.408,3696264.855,0.1,287.96,0.1,287.64,288.61,1.15,237.1,"grasslandHerbaceous","Alfisols","GeoXH 6000",20160204,293,1.5,0.7,"bet|cdw|cfc|dhp|div|hbp|vst",40,"CLBJ_036632062.4083696264.855","2019CLBJ_036632062.408"
